method,problem_id,candidate_id,problem_type,difficulty,selected,executable,status,objective,reference_objective,score,objective_correct,relative_error,structure_score,semantic_consistency_score,runtime_sec,repair_feedback_count,error,expected_inventory_balance,detected_inventory_balance,expected_order_variable,detected_order_variable,expected_inventory_variable,detected_inventory_variable,expected_shortage_variable,detected_shortage_variable,expected_capacity_constraint,detected_capacity_constraint,expected_binary_order_variable,detected_binary_order_variable,expected_big_m_constraint,detected_big_m_constraint,expected_lead_time,detected_lead_time,expected_holding_cost,detected_holding_cost,expected_shortage_cost,detected_shortage_cost,expected_fixed_order_cost,detected_fixed_order_cost
,single_period_newsvendor_0000,cand_0_reference,single_period_newsvendor,easy,False,False,Error,,111.0,0.0,0.0,,0.0,0.0,0.03920480003580451,0,"C:\Python314\python.exe: can't open file '\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\exp_demo\\candidate_runs\\single_period_newsvendor_0000\\cand_0_reference\\runs\\exp_demo\\candidate_runs\\single_period_newsvendor_0000\\cand_0_reference\\_runner.py': [Errno 2] No such file or directory
",,,,,,,,,,,,,,,,,,,,,,
,single_period_newsvendor_0000,cand_1_weak_structure,single_period_newsvendor,easy,False,False,Error,,111.0,0.0,0.0,,0.0,0.0,0.03238310001324862,0,"C:\Python314\python.exe: can't open file '\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\exp_demo\\candidate_runs\\single_period_newsvendor_0000\\cand_1_weak_structure\\runs\\exp_demo\\candidate_runs\\single_period_newsvendor_0000\\cand_1_weak_structure\\_runner.py': [Errno 2] No such file or directory
",,,,,,,,,,,,,,,,,,,,,,
,single_period_newsvendor_0000,cand_2_error,single_period_newsvendor,easy,False,False,Error,,111.0,0.0,0.0,,0.0,0.0,0.03424440004164353,0,"C:\Python314\python.exe: can't open file '\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\exp_demo\\candidate_runs\\single_period_newsvendor_0000\\cand_2_error\\runs\\exp_demo\\candidate_runs\\single_period_newsvendor_0000\\cand_2_error\\_runner.py': [Errno 2] No such file or directory
",,,,,,,,,,,,,,,,,,,,,,
,single_item_multi_period_0000,cand_0_reference,single_item_multi_period,medium,False,False,Error,,144.0,0.0,0.0,,0.0,0.0,0.03669179999269545,0,"C:\Python314\python.exe: can't open file '\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\exp_demo\\candidate_runs\\single_item_multi_period_0000\\cand_0_reference\\runs\\exp_demo\\candidate_runs\\single_item_multi_period_0000\\cand_0_reference\\_runner.py': [Errno 2] No such file or directory
",,,,,,,,,,,,,,,,,,,,,,
,single_item_multi_period_0000,cand_1_weak_structure,single_item_multi_period,medium,False,False,Error,,144.0,0.0,0.0,,0.0,0.0,0.03577669995138422,0,"C:\Python314\python.exe: can't open file '\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\exp_demo\\candidate_runs\\single_item_multi_period_0000\\cand_1_weak_structure\\runs\\exp_demo\\candidate_runs\\single_item_multi_period_0000\\cand_1_weak_structure\\_runner.py': [Errno 2] No such file or directory
",,,,,,,,,,,,,,,,,,,,,,
,single_item_multi_period_0000,cand_2_error,single_item_multi_period,medium,False,False,Error,,144.0,0.0,0.0,,0.0,0.0,0.03377490001730621,0,"C:\Python314\python.exe: can't open file '\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\exp_demo\\candidate_runs\\single_item_multi_period_0000\\cand_2_error\\runs\\exp_demo\\candidate_runs\\single_item_multi_period_0000\\cand_2_error\\_runner.py': [Errno 2] No such file or directory
",,,,,,,,,,,,,,,,,,,,,,
,single_item_multi_period_shortage_0000,cand_0_reference,single_item_multi_period_shortage,medium,False,False,Error,,460.0,0.0,0.0,,0.0,0.0,0.03682989999651909,0,"C:\Python314\python.exe: can't open file '\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\exp_demo\\candidate_runs\\single_item_multi_period_shortage_0000\\cand_0_reference\\runs\\exp_demo\\candidate_runs\\single_item_multi_period_shortage_0000\\cand_0_reference\\_runner.py': [Errno 2] No such file or directory
",,,,,,,,,,,,,,,,,,,,,,
,single_item_multi_period_shortage_0000,cand_1_weak_structure,single_item_multi_period_shortage,medium,False,False,Error,,460.0,0.0,0.0,,0.0,0.0,0.03240239998558536,0,"C:\Python314\python.exe: can't open file '\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\exp_demo\\candidate_runs\\single_item_multi_period_shortage_0000\\cand_1_weak_structure\\runs\\exp_demo\\candidate_runs\\single_item_multi_period_shortage_0000\\cand_1_weak_structure\\_runner.py': [Errno 2] No such file or directory
",,,,,,,,,,,,,,,,,,,,,,
,single_item_multi_period_shortage_0000,cand_2_error,single_item_multi_period_shortage,medium,False,False,Error,,460.0,0.0,0.0,,0.0,0.0,0.033147100009955466,0,"C:\Python314\python.exe: can't open file '\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\exp_demo\\candidate_runs\\single_item_multi_period_shortage_0000\\cand_2_error\\runs\\exp_demo\\candidate_runs\\single_item_multi_period_shortage_0000\\cand_2_error\\_runner.py': [Errno 2] No such file or directory
",,,,,,,,,,,,,,,,,,,,,,
,multi_item_capacity_0000,cand_0_reference,multi_item_capacity,hard,False,False,Error,,940.0,0.0,0.0,,0.0,0.0,0.03449069999624044,0,"C:\Python314\python.exe: can't open file '\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\exp_demo\\candidate_runs\\multi_item_capacity_0000\\cand_0_reference\\runs\\exp_demo\\candidate_runs\\multi_item_capacity_0000\\cand_0_reference\\_runner.py': [Errno 2] No such file or directory
",,,,,,,,,,,,,,,,,,,,,,
,multi_item_capacity_0000,cand_1_weak_structure,multi_item_capacity,hard,False,False,Error,,940.0,0.0,0.0,,0.0,0.0,0.035461499996017665,0,"C:\Python314\python.exe: can't open file '\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\exp_demo\\candidate_runs\\multi_item_capacity_0000\\cand_1_weak_structure\\runs\\exp_demo\\candidate_runs\\multi_item_capacity_0000\\cand_1_weak_structure\\_runner.py': [Errno 2] No such file or directory
",,,,,,,,,,,,,,,,,,,,,,
,multi_item_capacity_0000,cand_2_error,multi_item_capacity,hard,False,False,Error,,940.0,0.0,0.0,,0.0,0.0,0.031921999994665384,0,"C:\Python314\python.exe: can't open file '\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\exp_demo\\candidate_runs\\multi_item_capacity_0000\\cand_2_error\\runs\\exp_demo\\candidate_runs\\multi_item_capacity_0000\\cand_2_error\\_runner.py': [Errno 2] No such file or directory
",,,,,,,,,,,,,,,,,,,,,,
,fixed_order_cost_big_m_0000,cand_0_reference,fixed_order_cost_big_m,hard,False,False,Error,,729.0,0.0,0.0,,0.0,0.0,0.03748419997282326,0,"C:\Python314\python.exe: can't open file '\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\exp_demo\\candidate_runs\\fixed_order_cost_big_m_0000\\cand_0_reference\\runs\\exp_demo\\candidate_runs\\fixed_order_cost_big_m_0000\\cand_0_reference\\_runner.py': [Errno 2] No such file or directory
",,,,,,,,,,,,,,,,,,,,,,
,fixed_order_cost_big_m_0000,cand_1_weak_structure,fixed_order_cost_big_m,hard,False,False,Error,,729.0,0.0,0.0,,0.0,0.0,0.03458089998457581,0,"C:\Python314\python.exe: can't open file '\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\exp_demo\\candidate_runs\\fixed_order_cost_big_m_0000\\cand_1_weak_structure\\runs\\exp_demo\\candidate_runs\\fixed_order_cost_big_m_0000\\cand_1_weak_structure\\_runner.py': [Errno 2] No such file or directory
",,,,,,,,,,,,,,,,,,,,,,
,fixed_order_cost_big_m_0000,cand_2_error,fixed_order_cost_big_m,hard,False,False,Error,,729.0,0.0,0.0,,0.0,0.0,0.03383410000242293,0,"C:\Python314\python.exe: can't open file '\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\exp_demo\\candidate_runs\\fixed_order_cost_big_m_0000\\cand_2_error\\runs\\exp_demo\\candidate_runs\\fixed_order_cost_big_m_0000\\cand_2_error\\_runner.py': [Errno 2] No such file or directory
",,,,,,,,,,,,,,,,,,,,,,
