problem_id,candidate_id,code_execution_time,solver_lp_export_time,solver_time,lp_parse_time,structure_check_time,total_candidate_evaluation_time
single_period_newsvendor_0000,Qwen3-8B_k0,0.05572310302522965,,,,,0.05623409399413504
single_period_newsvendor_0000,Qwen3-8B_k1,0.061166847008280456,0.00012592598795890808,0.003170119016431272,0.0014870949962642044,0.006521078001242131,0.07373502300470136
single_period_newsvendor_0000,Qwen3-8B_k2,0.05417179598589428,,,,,0.05458272900432348
single_period_newsvendor_0000,Qwen3-8B_k3,0.05685402898234315,,,,,0.05755622900323942
single_period_newsvendor_0001,Qwen3-8B_k0,0.06335245500667952,,,,,0.06413937400793657
single_period_newsvendor_0001,Qwen3-8B_k1,0.06159538202336989,,,,,0.062392340012593195
single_period_newsvendor_0001,Qwen3-8B_k2,0.0549066590028815,,,,,0.05561180299264379
single_period_newsvendor_0001,Qwen3-8B_k3,0.05487550000543706,,,,,0.05561699302052148
single_period_newsvendor_0002,Qwen3-8B_k0,0.05508545401971787,,,,,0.055868595984065905
single_period_newsvendor_0002,Qwen3-8B_k1,0.06135829602135345,,,,,0.06202066197874956
single_period_newsvendor_0002,Qwen3-8B_k2,0.05632581599638797,,,,,0.05753248502151109
single_period_newsvendor_0002,Qwen3-8B_k3,0.055550557997776195,,,,,0.056202773994300514
single_period_newsvendor_0003,Qwen3-8B_k0,0.059016073995735496,,,,,0.059764170000562444
single_period_newsvendor_0003,Qwen3-8B_k1,0.058712011988973245,,,,,0.059387902001617476
single_period_newsvendor_0003,Qwen3-8B_k2,0.056594871974084526,,,,,0.057254040002590045
single_period_newsvendor_0003,Qwen3-8B_k3,0.056600754003738984,,,,,0.057329343020683154
single_period_newsvendor_0004,Qwen3-8B_k0,0.05717423098394647,,,,,0.057901438005501404
single_period_newsvendor_0004,Qwen3-8B_k1,0.060701401002006605,,,,,0.0613850970112253
single_period_newsvendor_0004,Qwen3-8B_k2,0.062313192000146955,,,,,0.06307719799224287
single_period_newsvendor_0004,Qwen3-8B_k3,0.0551002919964958,,,,,0.05626432099961676
single_period_newsvendor_0005,Qwen3-8B_k0,0.055122704012319446,,,,,0.05589309299830347
single_period_newsvendor_0005,Qwen3-8B_k1,0.05464424399542622,,,,,0.055295678990660235
single_period_newsvendor_0005,Qwen3-8B_k2,0.062529037008062,,,,,0.06317816799855791
single_period_newsvendor_0005,Qwen3-8B_k3,0.060012084984919056,,,,,0.06070700200507417
single_period_newsvendor_0006,Qwen3-8B_k0,0.06038095898111351,,,,,0.06112068900256418
single_period_newsvendor_0006,Qwen3-8B_k1,0.059100882994243875,,,,,0.06122130900621414
single_period_newsvendor_0006,Qwen3-8B_k2,0.05921205200138502,,,,,0.059854198014363647
single_period_newsvendor_0006,Qwen3-8B_k3,0.057800567999947816,,,,,0.058478323015151545
